Dates,Region,Pollster,Sample,Voter_Type,Pollster_Grade,Biden,Sanders,Harris,Warren,Buttigieg,Booker,Yang,de Blasio,Williamson,O'Rourke,Delaney,Castro,Gabbard,Klobuchar,Steyer,Poll_End_Date,Cell,Landline,Text,Online,Mail
"Apr 11-15, 2019",National,Monmouth University,330,RV,A+,27,20,8,6,8,2,0,1,0,4,0,0,0,1,-1,4/15/2019,481.0,320.0,0.0,0.0,0.0
"Mar 15-Apr 15, 2019",National,USC Dornsife/LA Times,"2,196",LV,C,27,16,7,4,2,2,1,-1,0,7,0,1,1,1,-1,4/15/2019,0.0,0.0,0.0,0.0,1.0
"Apr 11-14, 2019",National,Emerson College,356,LV,B+,24,29,8,7,9,2,3,-1,0,8,1,3,1,1,-1,4/14/2019,0.0,599.0,0.0,315.0,0.0
"Apr 8-14, 2019",National,Morning Consult,"12,550",LV,B-,31,23,9,7,7,4,1,-1,-1,8,1,1,1,2,-1,4/14/2019,0.0,0.0,0.0,1.0,0.0
"Apr 3-10, 2019",Pennsylvania,Muhlenberg College,405,RV,A,28,16,8,8,4,3,-1,-1,-1,3,-1,-1,-1,3,-1,4/10/2019,247.0,158.0,0.0,0.0,0.0
"Apr 6-9, 2019",California,Change Research,"2,003",LV,C+,21,22,19,8,9,3,1,-1,0,10,0,2,1,1,-1,4/9/2019,0.0,0.0,0.0,1.0,0.0
"Apr 4-9, 2019",Iowa,Monmouth University,351,LV,A+,27,16,7,7,9,3,1,0,0,6,1,2,0,4,-1,4/9/2019,176.0,175.0,0.0,0.0,0.0
"Apr 3-8, 2019",California,Quinnipiac University,482,RV,A-,26,18,17,7,7,2,1,-1,0,4,0,2,1,2,-1,4/8/2019,0.5,0.5,0.0,0.0,0.0
"Apr 3-8, 2019",New Hampshire,Saint Anselm College,326,LV,Missing,23,16,7,9,11,4,-1,-1,-1,6,1,-1,1,2,-1,4/8/2019,0.5,0.5,0.0,0.0,0.0
"Apr 4-7, 2019",Massachusetts,Emerson College,371,LV,B+,23,26,7,14,11,2,1,-1,-1,8,1,1,1,2,-1,4/7/2019,0.0,545.0,0.0,216.0,0.0
"Apr 1-7, 2019",National,Morning Consult,"13,644",LV,B-,32,23,9,7,5,4,1,-1,-1,8,1,1,1,2,-1,4/7/2019,0.0,0.0,0.0,1.0,0.0
"Apr 5-6, 2019",National,HarrisX,370,RV,C+,36,19,9,6,4,6,1,-1,-1,7,0,1,0,2,-1,4/6/2019,0.0,0.0,0.0,1.0,0.0
"Mar 31-Apr 4, 2019",South Carolina,Change Research,744,LV,C+,32,14,10,6,7,9,1,-1,0,9,0,1,0,1,-1,4/4/2019,0.0,0.0,0.0,1.0,0.0
"Mar 29-31, 2019",National,HarrisX,743,RV,C+,29,18,6,5,3,4,1,-1,1,6,1,1,0,2,-1,3/31/2019,0.0,0.0,0.0,1.0,0.0
"Mar 25-31, 2019",National,Morning Consult,"12,940",LV,B-,33,25,8,7,3,4,-1,-1,-1,8,1,1,1,2,-1,3/31/2019,0.0,0.0,0.0,1.0,0.0
"Mar 28-30, 2019",Nevada,Emerson College,310,LV,B+,26,23,9,10,5,2,3,-1,-1,10,-1,1,2,2,-1,3/30/2019,0.0,513.0,0.0,216.0,0.0
"Mar 26-28, 2019",Pennsylvania,Emerson College,359,LV,B+,39,20,5,11,6,4,1,-1,-1,5,-1,1,3,0,-1,3/28/2019,0.0,565.0,0.0,242.0,0.0
"Mar 25-26, 2019",National,Harris Interactive,263,RV,C+,35,17,5,6,2,4,1,-1,-1,7,-1,1,2,2,-1,3/26/2019,0.0,0.0,0.0,1.0,0.0
"Mar 21-25, 2019",National,Quinnipiac University,559,RV,A-,29,19,8,4,4,2,0,-1,0,12,0,1,0,2,-1,3/25/2019,0.5,0.5,0.0,0.0,0.0
"Mar 21-24, 2019",Iowa,David Binder Research,500,LV,Missing,25,17,9,8,6,7,1,-1,0,6,3,1,1,6,-1,3/24/2019,0.5,0.5,0.0,0.0,0.0
"Mar 21-24, 2019",Iowa,Emerson College,249,LV,B+,25,24,10,9,11,6,0,-1,-1,5,-1,1,1,2,-1,3/24/2019,0.0,424.0,0.0,283.0,0.0
"Mar 20-24, 2019",National,McLaughlin & Associates,447,LV,C-,28,17,8,5,3,3,0,0,1,8,1,0,0,1,-1,3/24/2019,0.0,0.0,0.0,1.0,0.0
"Mar 18-24, 2019",National,Morning Consult,"13,725",LV,B-,35,25,8,7,2,4,-1,-1,-1,8,1,1,1,2,-1,3/24/2019,0.0,0.0,0.0,1.0,0.0
"Mar 20-23, 2019",Alabama,Change Research,"1,200",LV,C+,42,13,12,6,3,9,1,0,0,10,0,1,0,1,-1,3/23/2019,0.0,0.0,0.0,1.0,0.0
21-Mar-19,Florida,Tel Opinion Research,800,LV,B,37,13,4,6,-1,2,-1,-1,-1,5,-1,-1,-1,1,-1,3/21/2019,0.5,0.5,0.0,0.0,0.0
"Mar 17-20, 2019",National,Fox News,403,LV,A,31,23,8,4,1,4,1,1,-1,8,1,1,0,1,-1,3/20/2019,786.0,216.0,0.0,0.0,0.0
"Mar 18-19, 2019",Oregon,Zogby Interactive/JZ Analytics,238,LV,C,26,27,6,6,3,4,4,-1,-1,8,1,-1,1,-1,-1,3/19/2019,0.0,0.0,0.0,1.0,0.0
"Mar 17-18, 2019",National,Emerson College,487,LV,B+,26,26,12,8,3,3,1,-1,-1,11,-1,1,1,1,-1,3/18/2019,0.0,599.0,0.0,315.0,0.0
"Mar 14-17, 2019",National,CNN/SSRS,411,RV,A-,28,19,11,7,1,3,-1,-1,-1,12,0,0,1,3,-1,3/17/2019,655.0,348.0,0.0,0.0,0.0
"Mar 15-17, 2019",Wisconsin,Emerson College,324,LV,B+,24,39,5,14,1,2,1,-1,-1,6,-1,0,0,4,-1,3/17/2019,0.0,562.0,0.0,213.0,0.0
"Mar 11-17, 2019",National,Morning Consult,"13,551",LV,B-,35,27,8,7,1,4,-1,-1,-1,8,1,1,1,2,-1,3/17/2019,0.0,0.0,0.0,1.0,0.0
"Mar 14-15, 2019",Iowa,Public Policy Polling*,678,LV,B,29,15,5,8,-1,4,-1,-1,-1,7,-1,-1,-1,6,-1,3/15/2019,0.5,0.0,0.0,0.5,0.0
"Mar 8-10, 2019",National,Change Research,"1,919",LV,C+,36,24,9,9,2,3,1,0,0,7,0,1,1,2,-1,3/10/2019,0.0,0.0,0.0,1.0,0.0
"Mar 7-10, 2019",Michigan,Emerson College,317,LV,B+,40,23,12,11,0,3,-1,-1,-1,2,-1,0,0,5,-1,3/10/2019,0.0,520.0,0.0,223.0,0.0
"Mar 8-10, 2019",National,HarrisX,740,RV,C+,27,19,8,4,0,4,1,-1,0,6,2,1,0,2,-1,3/10/2019,0.0,0.0,0.0,1.0,0.0
"Mar 4-10, 2019",National,Morning Consult,"15,226",LV,B-,31,27,10,7,1,4,-1,-1,-1,7,1,1,1,3,-1,3/10/2019,0.0,0.0,0.0,1.0,0.0
"Mar 3-6, 2019",Iowa,Selzer & Co.,401,LV,A+,27,25,7,9,1,3,0,0,0,5,1,1,0,3,-1,3/6/2019,0.5,0.5,0.0,0.0,0.0
"Mar 1-4, 2019",Florida,Bendixen & Amandi International,300,LV,B-,26,11,9,4,0,1,0,-1,-1,1,0,0,0,1,-1,3/4/2019,0.5,0.5,0.0,0.0,0.0
"Mar 1-4, 2019",National,Monmouth University,310,RV,A+,28,25,10,8,0,5,1,1,0,6,0,1,0,3,-1,3/4/2019,480.0,322.0,0.0,0.0,0.0
"Feb 25-Mar 3, 2019",National,GBAO,817,LV,B,28,20,9,5,0,3,-1,-1,-1,7,0,1,1,2,-1,3/3/2019,0.5,0.5,0.0,0.0,0.0
"Feb 25-Mar 3, 2019",National,Morning Consult,"12,560",LV,B-,31,27,11,7,1,4,-1,-1,-1,6,0,1,1,3,-1,3/3/2019,0.0,0.0,0.0,1.0,0.0
"Feb 28-Mar 2, 2019",South Carolina,Emerson College,291,LV,B+,37,21,9,5,0,6,-1,-1,-1,5,0,0,2,1,-1,3/2/2019,0.0,423.0,0.0,332.0,0.0
"Feb 18-26, 2019",New Hampshire,University of New Hampshire,240,LV,B,22,26,10,7,1,3,-1,-1,-1,5,0,-1,1,4,-1,2/26/2019,192.0,48.0,0.0,0.0,0.0
"Feb 18-24, 2019",National,Morning Consult,"15,642",LV,B-,29,27,10,7,1,4,-1,-1,-1,7,1,1,1,3,-1,2/24/2019,0.0,0.0,0.0,1.0,0.0
"Feb 22-23, 2019",National,D-CYFOR,453,RV,Missing,39,14,8,5,0,4,-1,-1,-1,3,1,0,1,2,-1,2/23/2019,0.0,0.0,0.0,1.0,0.0
"Feb 21-22, 2019",New Hampshire,Emerson College,405,LV,B+,25,27,12,9,1,5,-1,-1,-1,5,1,0,0,8,-1,2/22/2019,0.0,605.0,0.0,305.0,0.0
"Feb 19-20, 2019",National,Harris Interactive,337,RV,C+,37,22,10,4,-1,2,-1,-1,-1,6,-1,2,1,-1,-1,2/20/2019,0.0,0.0,0.0,1.0,0.0
"Feb 15-18, 2019",South Carolina,Change Research,600,LV,C+,36,14,13,9,-1,10,1,0,0,8,0,1,1,1,-1,2/18/2019,0.0,0.0,0.0,1.0,0.0
"Feb 17-18, 2019",National,HarrisX,370,RV,C+,25,11,12,5,-1,4,-1,-1,-1,6,-1,-1,-1,2,-1,2/18/2019,0.0,0.0,0.0,1.0,0.0
"Feb 11-17, 2019",National,Morning Consult,"15,383",LV,B-,30,21,11,8,0,5,-1,-1,-1,7,0,1,1,4,-1,2/17/2019,0.0,0.0,0.0,1.0,0.0
"Feb 14-16, 2019",National,Emerson College,431,LV,B+,27,17,15,9,0,9,-1,-1,-1,4,0,1,2,5,-1,2/16/2019,0.0,700.0,0.0,300.0,0.0
"Feb 7-15, 2019",New Hampshire,YouGov,337,LV,B,28,20,14,9,-1,3,-1,-1,-1,6,-1,1,-1,1,-1,2/15/2019,0.0,0.0,0.0,1.0,0.0
"Feb 9-11, 2019",National,Bold Blue Campaigns,500,LV,Missing,12,9,11,3,-1,0,-1,-1,-1,7,-1,0,-1,1,-1,2/11/2019,0.5,0.5,0.0,0.0,0.0
"Feb 9-11, 2019",California,Change Research,948,LV,C+,26,20,26,7,1,3,0,-1,0,8,0,2,1,1,-1,2/11/2019,0.0,0.0,0.0,1.0,0.0
"Feb 6-10, 2019",National,McLaughlin & Associates,450,LV,C-,25,16,8,5,0,3,0,0,-1,6,0,1,0,1,-1,2/10/2019,0.0,0.0,0.0,1.0,0.0
"Feb 4-10, 2019",National,Morning Consult,"11,627",LV,B-,29,22,13,8,0,5,-1,-1,-1,7,0,1,1,3,-1,2/10/2019,0.0,0.0,0.0,1.0,0.0
"Jan 28-Feb 3, 2019",National,Morning Consult,"14,494",LV,B-,30,21,14,9,0,4,-1,-1,-1,6,0,2,1,2,-1,2/3/2019,0.0,0.0,0.0,1.0,0.0
"Jan 30-Feb 2, 2019",Iowa,Emerson College,260,LV,B+,29,15,18,11,0,4,0,-1,-1,6,1,2,0,3,-1,2/2/2019,0.0,582.0,0.0,249.0,0.0
"Jan 31-Feb 2, 2019",Iowa,Firehouse Strategies/Øptimus,558,LV,C-,25,10,17,11,-1,4,-1,-1,-1,4,-1,-1,-1,5,-1,2/2/2019,121.0,243.0,212.0,0.0,0.0
"Jan 31-Feb 2, 2019",New Hampshire,Firehouse Strategies/Øptimus,518,LV,C-,22,13,13,9,-1,4,-1,-1,-1,2,-1,-1,-1,2,-1,2/2/2019,115.0,228.0,208.0,0.0,0.0
"Jan 31-Feb 2, 2019",South Carolina,Firehouse Strategies/Øptimus,557,LV,C-,36,8,12,4,-1,5,-1,-1,-1,2,-1,-1,-1,1,-1,2/2/2019,128.0,252.0,190.0,0.0,0.0
"Feb 1-2, 2019",National,Morning Consult,737,RV,B-,29,16,14,6,0,5,-1,-1,-1,5,0,0,1,2,-1,2/2/2019,0.0,0.0,0.0,1.0,0.0
"Jan 25-27, 2019",National,Monmouth University,313,RV,A+,29,16,11,8,0,4,1,-1,-1,7,0,1,1,2,-1,1/27/2019,400.0,405.0,0.0,0.0,0.0
"Jan 21-27, 2019",National,Morning Consult,"14,381",LV,B-,31,21,11,9,-1,3,-1,-1,-1,7,0,2,0,2,-1,1/27/2019,0.0,0.0,0.0,1.0,0.0
"Jan 21-24, 2019",National,ABC News/Washington Post,447,A,A+,9,4,8,2,-1,1,-1,-1,-1,3,-1,0,-1,1,-1,1/24/2019,650.0,350.0,0.0,0.0,0.0
"Jan 18-22, 2019",National,Morning Consult,694,RV,B-,26,16,9,6,-1,4,-1,-1,-1,6,0,2,1,2,-1,1/22/2019,0.0,0.0,0.0,1.0,0.0
"Jan 20-21, 2019",National,Emerson College,355,LV,B+,45,5,3,3,-1,8,-1,-1,-1,3,2,8,2,1,-1,1/21/2019,0.0,637.0,0.0,305.0,0.0
"Jan 14-20, 2019",National,Morning Consult,"14,250",LV,B-,30,23,6,11,-1,3,-1,-1,-1,8,0,2,-1,2,-1,1/20/2019,0.0,0.0,0.0,1.0,0.0
"Jan 18-20, 2019",National,Zogby Interactive/JZ Analytics,410,LV,C,27,18,6,9,-1,1,-1,-1,-1,6,1,0,0,-1,-1,1/20/2019,0.0,0.0,0.0,1.0,0.0
"Jan 15-16, 2019",National,Harris Interactive,479,RV,C+,23,21,7,4,-1,3,-1,-1,-1,8,-1,1,2,-1,-1,1/16/2019,0.0,0.0,0.0,1.0,0.0
"Jan 11-14, 2019",National,Morning Consult,674,RV,B-,32,15,6,9,-1,2,-1,-1,-1,8,1,0,-1,1,-1,1/14/2019,0.0,0.0,0.0,1.0,0.0
"Jan 7-13, 2019",National,Morning Consult,"4,749",LV,B-,31,23,7,11,-1,3,-1,-1,-1,8,0,2,-1,2,-1,1/13/2019,0.0,0.0,0.0,1.0,0.0
"Jan 4-6, 2019",National,Morning Consult,699,RV,B-,27,16,3,4,-1,3,-1,-1,-1,7,0,0,-1,2,-1,1/6/2019,0.0,0.0,0.0,1.0,0.0
"Jan 2-3, 2019",New Hampshire,Change Research,"1,162",LV,C+,24,26,4,11,-1,3,-1,-1,-1,9,0,0,-1,2,1,1/3/2019,0.0,0.0,0.0,1.0,0.0
"Dec 13-17, 2018",Iowa,Change Research,"1,291",LV,C+,20,20,7,7,-1,4,-1,-1,-1,19,1,1,-1,5,0,12/17/2018,0.0,0.0,0.0,1.0,0.0
"Dec 13-17, 2018",National,Change Research,"2,968",LV,C+,21,16,8,7,-1,4,-1,-1,-1,21,0,2,-1,3,1,12/17/2018,0.0,0.0,0.0,1.0,0.0
"Dec 14-16, 2018",National,Morning Consult,706,RV,B-,25,15,3,3,-1,3,-1,-1,-1,8,0,1,-1,1,-1,12/16/2018,0.0,0.0,0.0,1.0,0.0
"Dec 10-14, 2018",National,McLaughlin & Associates,468,LV,C-,17,18,3,4,-1,2,-1,0,-1,11,-1,-1,-1,1,-1,12/14/2018,0.0,0.0,0.0,1.0,0.0
"Dec 10-13, 2018",Iowa,Selzer & Co.,455,LV,A+,32,19,5,8,-1,4,0,-1,-1,11,1,1,-1,3,0,12/13/2018,0.5,0.5,0.0,0.0,0.0
"Dec 10-11, 2018",Iowa,David Binder Research,500,LV,Missing,30,13,7,9,-1,6,-1,-1,-1,11,1,-1,-1,10,-1,12/11/2018,0.5,0.5,0.0,0.0,0.0
"Dec 6-9, 2018",National,CNN/SSRS,463,A,A-,30,14,4,3,-1,5,-1,-1,-1,9,0,0,-1,3,0,12/9/2018,609.0,406.0,0.0,0.0,0.0
"Dec 6-9, 2018",National,Emerson College,320,LV,B+,26,22,9,7,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,12/9/2018,0.0,560.0,0.0,240.0,0.0
"Nov 27-28, 2018",National,Harris Interactive,449,RV,C+,28,21,3,5,-1,4,-1,-1,-1,7,-1,-1,-1,-1,-1,11/28/2018,0.0,0.0,0.0,1.0,0.0
"Nov 7-14, 2018",Massachusetts,YouGov,655,RV,B,19,14,6,11,-1,3,-1,-1,-1,10,-1,-1,-1,3,-1,11/14/2018,0.0,0.0,0.0,1.0,0.0
"Nov 7-9, 2018",National,Morning Consult,733,RV,B-,26,19,4,5,-1,3,-1,-1,-1,8,0,1,-1,1,-1,11/9/2018,0.0,0.0,0.0,1.0,0.0
"Nov 5-6, 2018",National,HarrisX,370,RV,C+,30,20,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,11/6/2018,0.0,0.0,0.0,1.0,0.0
